"location_id","display_name","is_cbd","node_degree","nodes_within_400m","walkable_m_within_400m","walkable_km_within_400m","low_sensory_within_800m","nearest_low_sensory_m","snap_m","network_snap_reliable"
94,"Fitzroy Garden- The Conservatory",True,2,87,5300.31,5.30,10,144.17,18.13,True
95,"Fitzroy Garden Visitor Centre External",True,1,133,3154.92,3.15,7,279.83,16.80,True
96,"Fitzroy Garden Visitor Centre Internal",True,1,133,3154.92,3.15,7,279.83,4.06,True
99,"Town Hall Visitor Centre",True,2,2327,30819.19,30.82,12,199.04,3.84,True
102,"North Melbourne Library",True,2,2231,23398.98,23.40,2,297.80,4.94,True
103,"Kensington Town Hall",False,5,1243,15500.88,15.50,3,522.35,4.70,True
104,"Kathleen Syme Library Main",True,2,1461,16615.70,16.62,6,580.89,2.16,True
105,"Kathleen Syme Library Lib",True,1,1259,14084.74,14.08,6,604.21,11.64,True
106,"Kathleen Syme Library Cafe",True,2,1291,14513.92,14.51,6,631.88,17.57,True
107,"Royal Mint 280 William St",True,3,1033,15890.88,15.89,7,306.49,20.44,True
108,"William St - Little Lonsdale St (West)",True,2,952,15536.46,15.54,7,291.51,1.22,True
109,"La Trobe St- William St (South)",True,2,902,14841.97,14.84,6,207.37,8.70,True
116,"Fitzroy Garden Visitor Centre Cafe Verandah",True,1,133,3154.92,3.15,7,279.83,12.83,True
117,"114 Flinders Street Car Park Footpath",True,2,739,12925.63,12.93,10,341.36,1.39,True
118,"114 Flinders Street Car Park Crossing",True,3,741,12936.91,12.94,10,340.38,1.93,True
123,"Birrarung Marr East - Batman Ave Bridge Entry",True,2,200,5398.31,5.40,9,78.24,9.14,True
124,"Birrarung Marr East - Batman Ave Bridge Entry",True,2,194,5357.67,5.36,9,75.17,6.02,True
130,"I-Hub 892 Bourke Street",True,2,395,10554.20,10.55,2,672.70,6.47,True
131,"I-Hub Corner of King Street and Flinders Street (2-6 King)",True,1,607,12190.92,12.19,7,210.29,7.27,True
132,"I-Hub Corner of King Street and Latrobe Street (317-335 King)",True,4,935,15039.16,15.04,5,116.18,7.62,True
133,"I-Hub Southern Cross Station - Lonsdale Street Entrance - South",True,2,665,13654.27,13.65,4,394.98,2.70,True
134,"I-Hub Southern Cross Station - Bourke Street Entrance - North",True,3,626,14854.18,14.85,4,229.02,3.83,True
135,"I-Hub Southern Cross Station - Bourke Street Entrance - South",True,2,627,15042.31,15.04,5,198.96,3.64,True
136,"COM Pole 1120 - Towards the City, Near Federation Square Bridge",True,4,82,4361.01,4.36,7,76.41,11.17,True
137,"COM Pole 2353 - Towards the city, NAB Building",True,2,571,12776.24,12.78,2,360.66,12.23,True
138,"COM Pole 1671 - Enterprize Park, Queens Bridge",True,3,665,11948.68,11.95,5,91.10,17.74,True
139,"COM Pole 1647 - Sandridge Bridge Signal Box",True,3,175,4857.63,4.86,8,154.13,7.27,True
140,"COM Pole 2837 - Boyd Park",True,3,424,7751.19,7.75,1,692.73,15.13,True
141,"Awning of Nationwide Parking 474 Flinders Street",True,3,607,12372.24,12.37,6,247.41,4.52,True
142,"COM Pole 1584 - Hammer Hall Entrance",True,1,50,1547.10,1.55,8,248.52,45.56,False
143,"Mounted on Toilet - Spencer Street, Batman Park",True,2,463,10258.57,10.26,6,122.86,3.81,True
144,"narrm ngarrgu Library - Level 1 - Lift 1",True,2,1026,18701.37,18.70,6,557.28,3.26,True
145,"narrm ngarrgu Library - Level 1 - Lift 2",True,2,1038,18776.30,18.78,6,545.37,2.93,True
146,"narrm ngarrgu Library - Level 1 - Lift 3",True,2,1074,19292.95,19.29,6,521.96,2.90,True
147,"narrm ngarrgu Library - Level 1 - Meeting Room Lift 1",True,2,1093,19588.00,19.59,6,519.39,3.89,True
148,"narrm ngarrgu Library - Level 1 - Meeting Room Lift 2",True,2,1093,19588.00,19.59,6,519.39,6.75,True
149,"narrm ngarrgu Library - Level 1 Main Stairs A",True,2,1061,19112.67,19.11,3,492.21,4.10,True
150,"narrm ngarrgu Library - Level 1 Main Stairs B",True,2,1060,19045.23,19.05,3,486.21,3.97,True
151,"narrm ngarrgu Library - Level 2 - Collections Stairs A",True,6,1032,18794.85,18.79,6,551.43,14.43,True
152,"narrm ngarrgu Library - Level 2 - Study Area Lifts 1",True,2,1074,19292.95,19.29,6,521.96,14.18,True
153,"narrm ngarrgu Library - Level 2 - Study Area Lifts 2",True,2,1061,19112.67,19.11,3,492.21,10.61,True
154,"narrm ngarrgu Library - Level 3 Children's Library Door 1",True,6,1032,18794.85,18.79,6,551.43,21.60,True
155,"narrm ngarrgu Library - Level 3 Children's Library Door 2",True,11,1046,18914.80,18.91,4,490.98,12.25,True
158,"514 Elizebeth Street",True,2,1123,20495.15,20.50,5,583.85,5.81,True
159,"516 Elizeberth Street",True,2,1175,21509.88,21.51,6,561.60,6.96,True
160,"City Baths, 420 Swanston Street - Main Entry",True,2,1080,18095.85,18.10,9,303.44,18.78,True
161,"Birrarung Marr - COM - Pole 1109",True,3,98,5291.08,5.29,13,229.96,17.10,True
